resolution_id,resolution_type
77,Additional Monies Received; Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late
78,Additional Monies Received; Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late
79,Additional Monies Received; Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late
80,Additional Monies Received; Company Position Upheld
81,Additional Monies Received; Company Position Upheld; Claim Settled
82,Additional Monies Received; Company Position Upheld; Contract Language/Legal Issue
83,Additional Monies Received; Company Position Upheld; Corrective Action Taken
84,Additional Monies Received; Company Position Upheld; Information Furnished
85,Additional Monies Received; Company Position Upheld; Policy Not In Force
86,Additional Monies Received; Company Position Upheld; Question of Fact
87,Additional Monies Received; Complainant Retained Attorney
88,Additional Monies Received; Complainant Retained Attorney; Additional Payment Expected
89,Additional Monies Received; Complainant Retained Attorney; Claim Settled
90,Additional Monies Received; Complainant Retained Attorney; Contract Language/Legal Issue
91,Additional Monies Received; Complainant Retained Attorney; Information Furnished
92,Additional Monies Received; Complainant Retained Attorney; No Jurisdiction
93,Additional Monies Received; Complainant Retained Attorney; Question of Fact
94,Additional Monies Received; Complainant Retained Attorney; Referred for Disciplinary Actn
95,Additional Monies Received; Complaint Withdrawn
96,Additional Monies Received; Complaint Withdrawn; Claim Settled
97,Additional Monies Received; Complaint Withdrawn; Contract Language/Legal Issue
98,Additional Monies Received; Complaint Withdrawn; Information Furnished
99,Additional Monies Received; Consumer Withdraw
100,Additional Monies Received; Consumer Withdraw; Claim Settled
101,Additional Monies Received; Consumer Withdraw; Corrective Action Taken
102,Additional Monies Received; Consumer Withdraw; No Jurisdiction
103,Additional Monies Received; Consumer Withdraw; Stat Pen Pd-46 To 90 Dys Late
104,Additional Monies Received; Contract Language/Legal Issue
105,Additional Monies Received; Contract Language/Legal Issue; Additional Payment Expected
106,Additional Monies Received; Contract Language/Legal Issue; Appraisal Process Invoked
107,Additional Monies Received; Contract Language/Legal Issue; Cancel/Non-Renewal Upheld
108,Additional Monies Received; Contract Language/Legal Issue; Cash Surrender Paid
109,Additional Monies Received; Contract Language/Legal Issue; Claim Not Clean
110,Additional Monies Received; Contract Language/Legal Issue; Claim Settled
111,Additional Monies Received; Contract Language/Legal Issue; Clean Claims Violation
112,Additional Monies Received; Contract Language/Legal Issue; Company Position Upheld
113,Additional Monies Received; Contract Language/Legal Issue; Complainant Retained Attorney
114,Additional Monies Received; Contract Language/Legal Issue; Corrective Action Taken
115,Additional Monies Received; Contract Language/Legal Issue; Information Furnished
116,Additional Monies Received; Contract Language/Legal Issue; Low Priority
117,Additional Monies Received; Contract Language/Legal Issue; Mediation Billed Amount
118,Additional Monies Received; Contract Language/Legal Issue; Mediation Not Eligible
119,Additional Monies Received; Contract Language/Legal Issue; No Jurisdiction
120,Additional Monies Received; Contract Language/Legal Issue; Policy Issued/Restored
121,Additional Monies Received; Contract Language/Legal Issue; Policy Not In Force
122,Additional Monies Received; Contract Language/Legal Issue; Premium Refunded
123,Additional Monies Received; Contract Language/Legal Issue; Question of Fact
124,Additional Monies Received; Contract Language/Legal Issue; Referred for Disciplinary Actn
125,Additional Monies Received; Contract Language/Legal Issue; Referred To
126,Additional Monies Received; Contract Language/Legal Issue; Stat Pen Pd-46 To 90 Dys Late
127,Additional Monies Received; Contract Language/Legal Issue; Stat Pen Pd-Over 90 Dys Late
128,Additional Monies Received; Contract Language/Legal Issue; Stat Pen Pd-Up To 45 Dys Late
129,Additional Monies Received; Corrective Action Taken
130,Additional Monies Received; Corrective Action Taken; Additional Payment Expected
131,Additional Monies Received; Corrective Action Taken; Cancellation Withdrawn
132,Additional Monies Received; Corrective Action Taken; Cash Surrender Paid
133,Additional Monies Received; Corrective Action Taken; Claim Not Clean
134,Additional Monies Received; Corrective Action Taken; Claim Settled
135,Additional Monies Received; Corrective Action Taken; Clean Claims Violation
136,Additional Monies Received; Corrective Action Taken; Company Position Upheld
137,Additional Monies Received; Corrective Action Taken; Complainant Retained Attorney
138,Additional Monies Received; Corrective Action Taken; Consumer Withdraw
139,Additional Monies Received; Corrective Action Taken; Contract Language/Legal Issue
140,Additional Monies Received; Corrective Action Taken; Failure to Timely Respond
141,Additional Monies Received; Corrective Action Taken; Information Furnished
142,Additional Monies Received; Corrective Action Taken; Insufficient Information
143,Additional Monies Received; Corrective Action Taken; No Jurisdiction
144,Additional Monies Received; Corrective Action Taken; Policy Issued/Restored
145,Additional Monies Received; Corrective Action Taken; Policy Not In Force
146,Additional Monies Received; Corrective Action Taken; Premium Refunded
147,Additional Monies Received; Corrective Action Taken; Question of Fact
148,Additional Monies Received; Corrective Action Taken; Rate Problem Resolved
149,Additional Monies Received; Corrective Action Taken; Referred for Disciplinary Actn
150,Additional Monies Received; Corrective Action Taken; Referred To
151,Additional Monies Received; Corrective Action Taken; Stat Pen Pd-46 To 90 Dys Late
152,Additional Monies Received; Corrective Action Taken; Stat Pen Pd-Over 90 Dys Late
153,Additional Monies Received; Corrective Action Taken; Stat Pen Pd-Up To 45 Dys Late
154,Additional Monies Received; Entered Into Arbitration
155,Additional Monies Received; Entered Into Arbitration; Claim Settled
156,Additional Monies Received; Entered Into Arbitration; Question of Fact
157,Additional Monies Received; Failure to Timely Respond
158,Additional Monies Received; Failure to Timely Respond; Claim Settled
159,Additional Monies Received; Failure to Timely Respond; Contract Language/Legal Issue
160,Additional Monies Received; Failure to Timely Respond; Corrective Action Taken
161,Additional Monies Received; Failure to Timely Respond; Information Furnished
162,Additional Monies Received; Failure to Timely Respond; Insufficient Information
163,Additional Monies Received; Failure to Timely Respond; No Jurisdiction
164,Additional Monies Received; Failure to Timely Respond; Premium Refunded
165,Additional Monies Received; Failure to Timely Respond; Question of Fact
166,Additional Monies Received; Failure to Timely Respond; Referred for Disciplinary Actn
167,Additional Monies Received; Failure to Timely Respond; Referred To
168,Additional Monies Received; Failure to Timely Respond; Stat Pen Pd-Over 90 Dys Late
169,Additional Monies Received; Information Furnished
170,Additional Monies Received; Information Furnished; Additional Payment Expected
171,Additional Monies Received; Information Furnished; Appraisal Process Invoked
172,Additional Monies Received; Information Furnished; Cancellation Withdrawn
173,Additional Monies Received; Information Furnished; Cash Surrender Paid
174,Additional Monies Received; Information Furnished; Claim Not Clean
175,Additional Monies Received; Information Furnished; Claim Settled
176,Additional Monies Received; Information Furnished; Clean Claims Violation
177,Additional Monies Received; Information Furnished; Company Position Upheld
178,Additional Monies Received; Information Furnished; Complainant Retained Attorney
179,Additional Monies Received; Information Furnished; Contract Language/Legal Issue
180,Additional Monies Received; Information Furnished; Corrective Action Taken
181,Additional Monies Received; Information Furnished; Failure to Timely Respond
182,Additional Monies Received; Information Furnished; Insufficient Information
183,Additional Monies Received; Information Furnished; No Jurisdiction
184,Additional Monies Received; Information Furnished; Policy Issued/Restored
185,Additional Monies Received; Information Furnished; Policy Not In Force
186,Additional Monies Received; Information Furnished; Premium Refunded
187,Additional Monies Received; Information Furnished; Question of Fact
188,Additional Monies Received; Information Furnished; Referred for Disciplinary Actn
189,Additional Monies Received; Information Furnished; Stat Pen Pd-46 To 90 Dys Late
190,Additional Monies Received; Information Furnished; Stat Pen Pd-Over 90 Dys Late
191,Additional Monies Received; Information Furnished; Stat Pen Pd-Up To 45 Dys Late
192,Additional Monies Received; Information Furnished; Taxes Paid
193,Additional Monies Received; Insufficient Information
194,Additional Monies Received; Insufficient Information; Claim Settled
195,Additional Monies Received; Insufficient Information; Contract Language/Legal Issue
196,Additional Monies Received; Insufficient Information; Corrective Action Taken
197,Additional Monies Received; Insufficient Information; Question of Fact
198,Additional Monies Received; Mediation Billed Amount
199,Additional Monies Received; Mediation Billed Amount; Claim Settled
200,Additional Monies Received; Mediation Billed Amount; Information Furnished
201,Additional Monies Received; Mediation Billed Amount; Mediation Not Eligible
202,Additional Monies Received; Mediation Billed Amount; Mediation Paid Amount
203,Additional Monies Received; Mediation Billed Amount; SOAH Referral
204,Additional Monies Received; Mediation Not Eligible
205,Additional Monies Received; Mediation Not Eligible; Claim Settled
206,Additional Monies Received; Mediation Not Eligible; Contract Language/Legal Issue
207,Additional Monies Received; Mediation Not Eligible; Information Furnished
208,Additional Monies Received; Mediation Not Eligible; Mediation Billed Amount
209,Additional Monies Received; Mediation Paid Amount
210,Additional Monies Received; Mediation Paid Amount; Mediation Billed Amount
211,Additional Monies Received; Mediation Paid Amount; Mediation Not Eligible
212,Additional Monies Received; Mediation Paid Amount; Referred To
213,Additional Monies Received; No Enforcement Case Opened
214,Additional Monies Received; No Enforcement Case Opened; Referred for Disciplinary Actn
215,Additional Monies Received; No Jurisdiction
216,Additional Monies Received; No Jurisdiction; Cash Surrender Paid
217,Additional Monies Received; No Jurisdiction; Claim Settled
218,Additional Monies Received; No Jurisdiction; Company Position Upheld
219,Additional Monies Received; No Jurisdiction; Consumer Withdraw
220,Additional Monies Received; No Jurisdiction; Contract Language/Legal Issue
221,Additional Monies Received; No Jurisdiction; Corrective Action Taken
222,Additional Monies Received; No Jurisdiction; Information Furnished
223,Additional Monies Received; No Jurisdiction; Insufficient Information
224,Additional Monies Received; No Jurisdiction; Mediation Billed Amount
225,Additional Monies Received; No Jurisdiction; Mediation Not Eligible
226,Additional Monies Received; No Jurisdiction; Premium Refunded
227,Additional Monies Received; No Jurisdiction; Question of Fact
228,Additional Monies Received; No Jurisdiction; Referred To
229,Additional Monies Received; No Jurisdiction; Stat Pen Pd-46 To 90 Dys Late
230,Additional Monies Received; No Jurisdiction; Stat Pen Pd-Over 90 Dys Late
231,Additional Monies Received; No Jurisdiction; Stat Pen Pd-Up To 45 Dys Late
232,Additional Monies Received; Non-Renewal Rescinded
233,Additional Monies Received; Opened/Linked to Case File
234,Additional Monies Received; Other
235,Additional Monies Received; Other; Claim Settled
236,Additional Monies Received; Policy Issued/Restored
237,Additional Monies Received; Policy Issued/Restored; Claim Settled
238,Additional Monies Received; Policy Issued/Restored; Contract Language/Legal Issue
239,Additional Monies Received; Policy Issued/Restored; Corrective Action Taken
240,Additional Monies Received; Policy Issued/Restored; Information Furnished
241,Additional Monies Received; Policy Issued/Restored; Premium Refunded
242,Additional Monies Received; Policy Not In Force
243,Additional Monies Received; Policy Not In Force; Company Position Upheld
244,Additional Monies Received; Policy Not In Force; Contract Language/Legal Issue
245,Additional Monies Received; Policy Not In Force; Corrective Action Taken
246,Additional Monies Received; Policy Not In Force; Information Furnished
247,Additional Monies Received; Policy Not In Force; Premium Refunded
248,Additional Monies Received; Policy Not In Force; Question of Fact
249,Additional Monies Received; Premium Refunded
250,Additional Monies Received; Premium Refunded; Cancel/Non-Renewal Upheld
251,Additional Monies Received; Premium Refunded; Claim Settled
252,Additional Monies Received; Premium Refunded; Contract Language/Legal Issue
253,Additional Monies Received; Premium Refunded; Corrective Action Taken
254,Additional Monies Received; Premium Refunded; Failure to Timely Respond
255,Additional Monies Received; Premium Refunded; Information Furnished
256,Additional Monies Received; Premium Refunded; No Jurisdiction
257,Additional Monies Received; Premium Refunded; Policy Issued/Restored
258,Additional Monies Received; Premium Refunded; Policy Not In Force
259,Additional Monies Received; Premium Refunded; Question of Fact
260,Additional Monies Received; Premium Refunded; Referred for Disciplinary Actn
261,Additional Monies Received; Premium Refunded; Stat Pen Pd-Up To 45 Dys Late
262,Additional Monies Received; Question of Fact
263,Additional Monies Received; Question of Fact; Additional Payment Expected
264,Additional Monies Received; Question of Fact; Appraisal Process Invoked
265,Additional Monies Received; Question of Fact; Claim Settled
266,Additional Monies Received; Question of Fact; Company Position Upheld
267,Additional Monies Received; Question of Fact; Complainant Retained Attorney
268,Additional Monies Received; Question of Fact; Consumer Withdraw
269,Additional Monies Received; Question of Fact; Contract Language/Legal Issue
270,Additional Monies Received; Question of Fact; Corrective Action Taken
271,Additional Monies Received; Question of Fact; Entered Into Arbitration
272,Additional Monies Received; Question of Fact; Failure to Timely Respond
273,Additional Monies Received; Question of Fact; Information Furnished
274,Additional Monies Received; Question of Fact; Insufficient Information
275,Additional Monies Received; Question of Fact; No Jurisdiction
276,Additional Monies Received; Question of Fact; Premium Refunded
277,Additional Monies Received; Question of Fact; Referred To
278,Additional Monies Received; Rate Problem Resolved
279,Additional Monies Received; Referred for Disciplinary Actn
280,Additional Monies Received; Referred for Disciplinary Actn; Claim Settled
281,Additional Monies Received; Referred for Disciplinary Actn; Contract Language/Legal Issue
282,Additional Monies Received; Referred for Disciplinary Actn; Corrective Action Taken
283,Additional Monies Received; Referred for Disciplinary Actn; Information Furnished
284,Additional Monies Received; Referred for Disciplinary Actn; No Enforcement Case Opened
285,Additional Monies Received; Referred for Disciplinary Actn; Stat Pen Pd-46 To 90 Dys Late
286,Additional Monies Received; Referred for Disciplinary Actn; Stat Pen Pd-Over 90 Dys Late
287,Additional Monies Received; Referred To
288,Additional Monies Received; Referred To; Claim Settled
289,Additional Monies Received; Referred To; Contract Language/Legal Issue
290,Additional Monies Received; Referred To; Information Furnished
291,Additional Monies Received; Referred To; No Jurisdiction
292,Additional Monies Received; Referred To; Stat Pen Pd-Up To 45 Dys Late
293,Additional Monies Received; SOAH Referral; Mediation Billed Amount
294,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late
295,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Cancellation Withdrawn
296,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Claim Settled
297,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Clean Claims Violation
298,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Contract Language/Legal Issue
299,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Corrective Action Taken
300,Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late; Information Furnished
301,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late
302,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Claim Settled
303,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Clean Claims Violation
304,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Contract Language/Legal Issue
305,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Corrective Action Taken
306,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Failure to Timely Respond
307,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Information Furnished
308,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; No Jurisdiction
309,Additional Monies Received; Stat Pen Pd-Over 90 Dys Late; Referred for Disciplinary Actn
310,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late
311,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Claim Settled
312,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Clean Claims Violation
313,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Contract Language/Legal Issue
314,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Corrective Action Taken
315,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Information Furnished
316,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Policy Issued/Restored
317,Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late; Referred To
318,Additional Monies Received; Taxes Paid
319,Additional Payment Expected
320,Additional Payment Expected; Additional Monies Received
321,Additional Payment Expected; Additional Monies Received; Appraisal Process Invoked
322,Additional Payment Expected; Additional Monies Received; Claim Not Clean
323,Additional Payment Expected; Additional Monies Received; Claim Settled
324,Additional Payment Expected; Additional Monies Received; Clean Claims Violation
325,Additional Payment Expected; Additional Monies Received; Company Position Upheld
326,Additional Payment Expected; Additional Monies Received; Complainant Retained Attorney
327,Additional Payment Expected; Additional Monies Received; Complaint Withdrawn
328,Additional Payment Expected; Additional Monies Received; Contract Language/Legal Issue
329,Additional Payment Expected; Additional Monies Received; Corrective Action Taken
330,Additional Payment Expected; Additional Monies Received; Information Furnished
331,Additional Payment Expected; Additional Monies Received; Mediation Not Eligible
332,Additional Payment Expected; Additional Monies Received; No Jurisdiction
333,Additional Payment Expected; Additional Monies Received; Policy Issued/Restored
334,Additional Payment Expected; Additional Monies Received; Question of Fact
335,Additional Payment Expected; Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late
336,Additional Payment Expected; Additional Monies Received; Stat Pen Pd-Over 90 Dys Late
337,Additional Payment Expected; Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late
338,Additional Payment Expected; Agent 1st warning; Information Furnished
339,Additional Payment Expected; Appraisal Process Invoked
340,Additional Payment Expected; Appraisal Process Invoked; Additional Monies Received
341,Additional Payment Expected; Appraisal Process Invoked; Contract Language/Legal Issue
342,Additional Payment Expected; Appraisal Process Invoked; Corrective Action Taken
343,Additional Payment Expected; Appraisal Process Invoked; Information Furnished
344,Additional Payment Expected; Appraisal Process Invoked; Question of Fact
345,Additional Payment Expected; Cancel/Non-Renewal Upheld; Additional Monies Received
346,Additional Payment Expected; Cancellation Withdrawn
347,Additional Payment Expected; Cancellation Withdrawn; Information Furnished
348,Additional Payment Expected; Cancellation Withdrawn; Policy Issued/Restored
349,Additional Payment Expected; Cash Surrender Paid
350,Additional Payment Expected; Cash Surrender Paid; Contract Language/Legal Issue
351,Additional Payment Expected; Claim Not Clean
352,Additional Payment Expected; Claim Not Clean; Information Furnished
353,Additional Payment Expected; Claim Settled
354,Additional Payment Expected; Claim Settled; Additional Monies Received
355,Additional Payment Expected; Claim Settled; Company Position Upheld
356,Additional Payment Expected; Claim Settled; Complainant Retained Attorney
357,Additional Payment Expected; Claim Settled; Contract Language/Legal Issue
358,Additional Payment Expected; Claim Settled; Corrective Action Taken
359,Additional Payment Expected; Claim Settled; Information Furnished
360,Additional Payment Expected; Claim Settled; Mediation Billed Amount
361,Additional Payment Expected; Claim Settled; Mediation Not Eligible
362,Additional Payment Expected; Claim Settled; Question of Fact
363,Additional Payment Expected; Claim Settled; Stat Pen Pd-46 To 90 Dys Late
364,Additional Payment Expected; Claim Settled; Stat Pen Pd-Over 90 Dys Late
365,Additional Payment Expected; Clean Claims Violation
366,Additional Payment Expected; Clean Claims Violation; Additional Monies Received
367,Additional Payment Expected; Clean Claims Violation; Contract Language/Legal Issue
368,Additional Payment Expected; Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late
369,Additional Payment Expected; Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late
370,Additional Payment Expected; Company Position Upheld
371,Additional Payment Expected; Company Position Upheld; Additional Monies Received
372,Additional Payment Expected; Company Position Upheld; Contract Language/Legal Issue
373,Additional Payment Expected; Company Position Upheld; Information Furnished
374,Additional Payment Expected; Company Position Upheld; Question of Fact
375,Additional Payment Expected; Complainant Retained Attorney
376,Additional Payment Expected; Complainant Retained Attorney; Additional Monies Received
377,Additional Payment Expected; Complainant Retained Attorney; Claim Settled
378,Additional Payment Expected; Complainant Retained Attorney; Contract Language/Legal Issue
379,Additional Payment Expected; Complainant Retained Attorney; Information Furnished
380,Additional Payment Expected; Complainant Retained Attorney; Insufficient Information
381,Additional Payment Expected; Complainant Retained Attorney; Question of Fact
382,Additional Payment Expected; Complaint Withdrawn
383,Additional Payment Expected; Complaint Withdrawn; Information Furnished
384,Additional Payment Expected; Consumer Withdraw
385,Additional Payment Expected; Consumer Withdraw; Information Furnished
386,Additional Payment Expected; Consumer Withdraw; No Jurisdiction
387,Additional Payment Expected; Contract Language/Legal Issue
388,Additional Payment Expected; Contract Language/Legal Issue; Additional Monies Received
389,Additional Payment Expected; Contract Language/Legal Issue; Appraisal Process Invoked
390,Additional Payment Expected; Contract Language/Legal Issue; Cancel/Non-Renewal Upheld
391,Additional Payment Expected; Contract Language/Legal Issue; Claim Settled
392,Additional Payment Expected; Contract Language/Legal Issue; Company Position Upheld
393,Additional Payment Expected; Contract Language/Legal Issue; Complainant Retained Attorney
394,Additional Payment Expected; Contract Language/Legal Issue; Corrective Action Taken
395,Additional Payment Expected; Contract Language/Legal Issue; Failure to Timely Respond
396,Additional Payment Expected; Contract Language/Legal Issue; Information Furnished
397,Additional Payment Expected; Contract Language/Legal Issue; Insufficient Information
398,Additional Payment Expected; Contract Language/Legal Issue; No Jurisdiction
399,Additional Payment Expected; Contract Language/Legal Issue; Other
400,Additional Payment Expected; Contract Language/Legal Issue; Premium Refunded
401,Additional Payment Expected; Contract Language/Legal Issue; Question of Fact
402,Additional Payment Expected; Contract Language/Legal Issue; Referred To
403,Additional Payment Expected; Corrective Action Taken
404,Additional Payment Expected; Corrective Action Taken; Additional Monies Received
405,Additional Payment Expected; Corrective Action Taken; Claim Settled
406,Additional Payment Expected; Corrective Action Taken; Clean Claims Violation
407,Additional Payment Expected; Corrective Action Taken; Company Position Upheld
408,Additional Payment Expected; Corrective Action Taken; Contract Language/Legal Issue
409,Additional Payment Expected; Corrective Action Taken; Failure to Timely Respond
410,Additional Payment Expected; Corrective Action Taken; Information Furnished
411,Additional Payment Expected; Corrective Action Taken; No Jurisdiction
412,Additional Payment Expected; Corrective Action Taken; Policy Issued/Restored
413,Additional Payment Expected; Corrective Action Taken; Policy Not In Force
414,Additional Payment Expected; Corrective Action Taken; Premium Refunded
415,Additional Payment Expected; Corrective Action Taken; Question of Fact
416,Additional Payment Expected; Corrective Action Taken; Referred for Disciplinary Actn
417,Additional Payment Expected; Corrective Action Taken; Stat Pen Pd-Up To 45 Dys Late
418,Additional Payment Expected; Entered Into Arbitration
419,Additional Payment Expected; Entered Into Mediation; Question of Fact
420,Additional Payment Expected; Failure to Timely Respond
421,Additional Payment Expected; Failure to Timely Respond; Information Furnished
422,Additional Payment Expected; Information Furnished
423,Additional Payment Expected; Information Furnished; Additional Monies Received
424,Additional Payment Expected; Information Furnished; Appraisal Process Invoked
425,Additional Payment Expected; Information Furnished; Claim Not Clean
426,Additional Payment Expected; Information Furnished; Claim Settled
427,Additional Payment Expected; Information Furnished; Company Position Upheld
428,Additional Payment Expected; Information Furnished; Complainant Retained Attorney
429,Additional Payment Expected; Information Furnished; Complaint Withdrawn
430,Additional Payment Expected; Information Furnished; Contract Language/Legal Issue
431,Additional Payment Expected; Information Furnished; Corrective Action Taken
432,Additional Payment Expected; Information Furnished; Insufficient Information
433,Additional Payment Expected; Information Furnished; No Enforcement Case Opened
434,Additional Payment Expected; Information Furnished; No Jurisdiction
435,Additional Payment Expected; Information Furnished; Policy Not In Force
436,Additional Payment Expected; Information Furnished; Premium Refunded
437,Additional Payment Expected; Information Furnished; Question of Fact
438,Additional Payment Expected; Information Furnished; Rate Problem Resolved
439,Additional Payment Expected; Information Furnished; Referred for Disciplinary Actn
440,Additional Payment Expected; Information Furnished; Referred To
441,Additional Payment Expected; Information Furnished; Stat Pen Pd-Over 90 Dys Late
442,Additional Payment Expected; Insufficient Information
443,Additional Payment Expected; Insufficient Information; Complainant Retained Attorney
444,Additional Payment Expected; Insufficient Information; Contract Language/Legal Issue
445,Additional Payment Expected; Insufficient Information; Information Furnished
446,Additional Payment Expected; Insufficient Information; Question of Fact
447,Additional Payment Expected; Mediation Billed Amount
448,Additional Payment Expected; Mediation Billed Amount; Claim Settled
449,Additional Payment Expected; Mediation Billed Amount; Mediation Not Eligible
450,Additional Payment Expected; Mediation Billed Amount; Mediation Paid Amount
451,Additional Payment Expected; Mediation Not Eligible
452,Additional Payment Expected; Mediation Not Eligible; Claim Settled
453,Additional Payment Expected; Mediation Not Eligible; Contract Language/Legal Issue
